scenario_id,period,period_start,period_end,strategy_count,extra_slippage_bps,cagr,sharpe,max_drawdown,total_return,monthly_hit_rate,worst_month,avg_daily_turnover,avg_unique_positions,latest_unique_positions,avg_effective_positions,baseline_return_corr,baseline_all_period_jaccard,baseline_latest_jaccard,baseline_position_phi_corr,comparison_baseline_scenario_id,delta_cagr,delta_sharpe,delta_max_drawdown,delta_total_return,delta_avg_daily_turnover,delta_avg_unique_positions,delta_avg_effective_positions
Baseline_current_active11,full_2023_2026,2023-01-01,2026-06-15,11,0.0,0.16614611536366386,1.005464055464227,-0.216134346405083,0.6590557204150529,0.5,-0.07997767838520953,0.13955261813276532,536.910843373494,578,289.3648806636879,0.9635292722485707,0.6110694485068539,0.6105442176870748,0.6670352175621715,Candidate11_noBroker,-0.22566473608365412,-0.7555989627733786,-2.0020092137751355e-05,-1.3119473433547828,0.07298574162841676,191.2060240963856,29.291202296573317
Candidate12_keep_BrokerReclaim,full_2023_2026,2023-01-01,2026-06-15,12,0.0,0.3230748647053523,1.5483869843742475,-0.2237816414288637,1.5145288220841624,0.5952380952380952,-0.10336072799858342,0.09439162057293317,378.3602409638554,406,147.34597585621958,0.9991584372940596,0.9136922484150057,0.9088669950738916,0.9375122096328105,Candidate11_noBroker,-0.06873598674196568,-0.21267603386335798,-0.007667315115918449,-0.4564742416856733,0.02782474406858461,32.65542168674699,-112.72770251089503
Candidate11_noBroker,full_2023_2026,2023-01-01,2026-06-15,11,0.0,0.391810851447318,1.7610630182376055,-0.21611432631294525,1.9710030637698357,0.6428571428571429,-0.10333398618702139,0.06656687650434856,345.7048192771084,369,260.0736783671146,1.0,1.0,1.0,0.9999999999999999,Candidate11_noBroker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinalActive12_retire_trio_Broker_S11_add_fused_0248_0109_0166_0283_0009,full_2023_2026,2023-01-01,2026-06-15,12,0.0,0.448402958136787,1.9729289779930936,-0.22837148131810991,2.3877668207343654,0.7142857142857143,-0.11111809686363106,0.05143960193817764,352.06746987951806,375,292.55873079831315,0.9819768956693965,0.9769889331139527,0.9787234042553191,0.9836932845654356,Candidate11_noBroker,0.05659210668946901,0.21186595975548816,-0.012257155005164666,0.4167637569645297,-0.015127274566170919,6.362650602409644,32.48505243119854
Candidate11_noBroker_replace_S04_S11_defensive_with_0285_0283_0009,full_2023_2026,2023-01-01,2026-06-15,11,0.0,0.5505169876080029,2.1612575834346774,-0.23063497030793345,3.2399737724982334,0.7380952380952381,-0.10035988158503206,0.02441219423147134,57.20120481927711,58,69.54125666531698,0.9651454581195642,0.137405488872941,0.1356382978723404,0.2783104373280788,Candidate11_noBroker,0.15870613616068496,0.40019456519707197,-0.014520643994988203,1.2689707087283977,-0.04215468227287722,-288.5036144578313,-190.53242170179763
Baseline_current_active11,full_2023_2026,2023-01-01,2026-06-15,11,50.0,-0.02187948380629423,-0.04833121703687386,-0.3944954674891572,-0.07027220128540623,0.47619047619047616,-0.09144978903795997,0.13955261813276532,536.910843373494,578,289.3648806636879,0.9629367874315937,0.6110694485068539,0.6105442176870748,0.6670352175621715,Candidate11_noBroker,-0.30179255973903085,-1.3874180485312195,-0.15083903814463573,-1.3245895833286467,0.07298574162841676,191.2060240963856,29.291202296573317
Candidate12_keep_BrokerReclaim,full_2023_2026,2023-01-01,2026-06-15,12,50.0,0.17479160493303314,0.9314915088541313,-0.2838002128997694,0.6999124620579218,0.5238095238095238,-0.11076527596242225,0.09439162057293317,378.3602409638554,406,147.34597585621958,0.999155848209136,0.9136922484150057,0.9088669950738916,0.9375122096328105,Candidate11_noBroker,-0.10512147099970348,-0.40759532264021425,-0.04014378355524795,-0.5544049199853187,0.02782474406858461,32.65542168674699,-112.72770251089503
Candidate11_noBroker,full_2023_2026,2023-01-01,2026-06-15,11,50.0,0.2799130759327366,1.3390868314943456,-0.24365642934452147,1.2543173820432405,0.5714285714285714,-0.10808860096594264,0.06656687650434856,345.7048192771084,369,260.0736783671146,0.9999999999999999,1.0,1.0,0.9999999999999999,Candidate11_noBroker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinalActive12_retire_trio_Broker_S11_add_fused_0248_0109_0166_0283_0009,full_2023_2026,2023-01-01,2026-06-15,12,50.0,0.3575167075031356,1.6424735017310441,-0.2570753360332261,1.7366312279639633,0.6666666666666666,-0.11590938489330727,0.05143960193817764,352.06746987951806,375,292.55873079831315,0.9818946388398679,0.9769889331139527,0.9787234042553191,0.9836932845654356,Candidate11_noBroker,0.07760363157039896,0.3033866702366985,-0.013418906688704602,0.4823138459207228,-0.015127274566170919,6.362650602409644,32.48505243119854
Candidate11_noBroker_replace_S04_S11_defensive_with_0285_0283_0009,full_2023_2026,2023-01-01,2026-06-15,11,50.0,0.5035000680094044,2.013798722952359,-0.23418193591841985,2.831042108451313,0.7142857142857143,-0.10282275063923407,0.02441219423147134,57.20120481927711,58,69.54125666531698,0.9649722420592657,0.137405488872941,0.1356382978723404,0.2783104373280788,Candidate11_noBroker,0.22358699207666777,0.6747118914580132,0.009474493426101627,1.5767247264080724,-0.04215468227287722,-288.5036144578313,-190.53242170179763
