extra_slippage_bps,total_proxy_turnover_cost,group,status,name,family_id,alpha_bucket,strategy_id,proxy_cagr,proxy_sharpe,proxy_MOD,proxy_total_return,proxy_worst_month,proxy_monthly_hit_rate,active_days,avg_positions,max_positions,latest_positions,avg_turnover
0,0.004425,candidate_stock_tech12,candidate,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,stock_tech_s01_55d_trend_volume_breakout_v1,0.4931070079218145,1.6606211380644766,-0.2659985325606252,2.7445078242923016,-0.10118818220600123,0.5952380952380952,658,7.644578313253012,10,10,0.029840791738382104
0,0.004425,candidate_stock_tech12,candidate,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s02_52w_dual_momentum_v1,0.4250134392231364,1.1946411402882748,-0.28077492874961596,2.2108937903140697,-0.10083700628185832,0.6190476190476191,678,7.960240963855422,10,10,0.034460699942627654
0,0.004425,candidate_stock_tech12,candidate,S3 VCP contraction breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s03_vcp_contraction_breakout_v1,-0.13053983783414203,-0.42848840431395424,-0.5791582419544162,-0.369173852850067,-0.21338758586647322,0.40476190476190477,571,4.287951807228915,10,0,0.08042981449607955
0,0.004425,candidate_stock_tech12,candidate,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s04_ma_deduct_turn_breakout_v1,0.4787451958901321,1.4514498148814097,-0.36861451224052033,2.627182072245575,-0.2506678198524772,0.5952380952380952,714,5.940963855421686,10,6,0.09241681009753297
0,0.004425,candidate_stock_tech12,candidate,S5 first dry pullback,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s05_first_dry_pullback_v1,0.04782527917152768,0.35996803099495606,-0.23114412294484477,0.16633808893937907,-0.09642196878804077,0.07142857142857142,64,0.07710843373493977,1,0,0.008433734939759036
0,0.004425,candidate_stock_tech12,candidate,S6 NR7 inside bar breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s06_nr7_inside_bar_breakout_v1,0.23223078702725486,0.7935875326267594,-0.4872787433391397,0.9893351671083388,-0.20867741590891997,0.47619047619047616,562,2.719277108433735,10,1,0.096327691719258
0,0.004425,candidate_stock_tech12,candidate,S7 2B false break reversal,TREND_RECLAIM_CONTINUATION,mean_reversion,stock_tech_s07_2b_false_break_reversal_v1,0.004075677397233468,0.10660794255497935,-0.2356451704582634,0.013486712725815142,-0.12276913320110816,0.3333333333333333,166,0.28072289156626506,6,0,0.04682730923694779
0,0.004425,candidate_stock_tech12,candidate,S8 RSI2 bull mean reversion,TREND_RECLAIM_CONTINUATION,mean_reversion,stock_tech_s08_rsi2_bull_mean_reversion_v1,-0.14259613871733812,-0.43958414440294785,-0.48107775726550284,-0.3975289888498853,-0.13032626880659626,0.2619047619047619,682,6.8987951807228916,10,10,0.28258988334289536
0,0.004425,candidate_stock_tech12,candidate,S9 three soldiers base breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s09_three_soldiers_base_breakout_v1,0.040863333820620795,0.3168994008989336,-0.23079630233695303,0.1410083086412388,-0.1375169950738917,0.3333333333333333,231,0.37349397590361444,5,0,0.03495983935742972
0,0.004425,candidate_stock_tech12,candidate,S10 island reversal,VOLATILITY_CONTRACTION_BREAKOUT,mean_reversion,stock_tech_s10_island_reversal_v1,-0.06165439872811007,-0.25423778558475046,-0.44741499383822514,-0.18908975313040177,-0.25720263888888895,0.11904761904761904,88,0.3168674698795181,10,0,0.011579651941097724
0,0.004425,candidate_stock_tech12,candidate,S11 gap breakout continuation,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s11_gap_breakout_continuation_v1,0.3617793729582388,1.1055194950452831,-0.3562680184196362,1.7650361190765818,-0.1645459618254237,0.4523809523809524,623,5.025301204819277,10,4,0.14176898068464336
0,0.004425,active_strategy_spec,active,Pymoo NSGA-III novelty 0081 breadth trend impulse,TREND_RECLAIM_CONTINUATION,trend_following,alpha_miner_pymoo_nsga3_novelty_0081,-0.39241073129035975,-2.691372404007481,-0.8172612330148685,-0.806229697738052,-0.132683675387834,0.16666666666666666,830,341.66506024096384,527,341,0.7017211337377567
0,0.004425,active_strategy_spec,active,Pymoo NSGA-III novelty 0187 revenue short trend,REVENUE_QUALITY_MOMENTUM,trend_following,alpha_miner_pymoo_nsga3_novelty_0187,-0.4228669517377803,-2.8174955435602214,-0.845526214211303,-0.8364214616273357,-0.1431154865021762,0.14285714285714285,830,272.30481927710844,397,302,0.7100760933891764
0,0.004425,active_strategy_spec,active,Pymoo NSGA-III novelty 0193 sentiment margin flow,SMART_MONEY_ACCUMULATION,defensive_accumulation,alpha_miner_pymoo_nsga3_novelty_0193,0.1741644938036384,0.8528363238316906,-0.3976518843375385,0.6969255537177896,-0.11931042978281803,0.5952380952380952,830,519.3361445783132,618,539,0.047475585894951516
0,0.004425,active_strategy_spec,active,AlphaBuilders multifactor revenue quality momentum,REVENUE_QUALITY_MOMENTUM,trend_following,alphabuilders_multifactor_revenue_quality_momentum_v1,0.1665588128610136,0.9716256389464013,-0.3454485798954652,0.6609903313719687,-0.09617218520392723,0.5952380952380952,830,599.2915662650603,1176,780,0.12682749225347978
0,0.004425,active_strategy_spec,active,Breakout volume expansion seed,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,breakout_vol_expansion_seed_v1,0.10267630721849752,0.5942413157781083,-0.3459332316473336,0.37977741228791606,-0.10422724228988356,0.5,830,224.96024096385543,738,243,0.2661785134135984
