period,start_date,end_date,group,status,name,family_id,alpha_bucket,strategy_id,proxy_cagr,proxy_sharpe,proxy_MOD,proxy_total_return,proxy_worst_month,proxy_monthly_hit_rate,active_days,avg_positions,max_positions,latest_positions,avg_turnover,reason
2025,2025-01-01,2025-12-31,active_strategy_spec,active,AlphaBuilders multifactor revenue quality momentum,REVENUE_QUALITY_MOMENTUM,trend_following,alphabuilders_multifactor_revenue_quality_momentum_v1,-0.030720759312714563,-0.03024034558535093,-0.2793515657602591,-0.029640015498064942,-0.09617218520392723,0.4166666666666667,243.0,620.4115226337449,962.0,647.0,0.1315591313671657,
2025,2025-01-01,2025-12-31,active_strategy_spec,active,Breakout volume expansion seed,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,breakout_vol_expansion_seed_v1,-0.05671385099930071,-0.1448962375712488,-0.23411835160854755,-0.05474485866490919,-0.10422724228988356,0.3333333333333333,243.0,177.81893004115227,452.0,215.0,0.2768179694936131,
2025,2025-01-01,2025-12-31,active_strategy_spec,active,Defensive accumulation seed,SMART_MONEY_ACCUMULATION,defensive_accumulation,defensive_accumulation_seed_v1,-0.17990665585595678,-0.9629753893888519,-0.24155611925235243,-0.1740769277229054,-0.09227346072801756,0.3333333333333333,243.0,484.30864197530866,903.0,540.0,0.2976747511924302,
2025,2025-01-01,2025-12-31,active_strategy_spec,active,FinLab AI broker accumulation reclaim,SMART_MONEY_ACCUMULATION,defensive_accumulation,finlab_ai_skill_broker_accumulation_reclaim_v1,-0.3961283524596174,-2.5896689478999666,-0.3851516028627505,-0.3851516028627505,-0.10685253055632349,0.16666666666666666,243.0,210.19341563786008,397.0,229.0,0.43534632375872745,
2025,2025-01-01,2025-12-31,active_strategy_spec,active,FinLab AI quality trend,REVENUE_QUALITY_MOMENTUM,trend_following,finlab_ai_skill_quality_trend_v1,-0.18568440143407083,-0.8882009989360466,-0.22786849662403474,-0.1796886377968513,-0.09015494612977348,0.3333333333333333,243.0,97.04526748971193,279.0,94.0,0.25751831601729575,
2025,2025-01-01,2025-12-31,active_strategy_spec,active,FinLab AI revenue revision breakout,REVENUE_QUALITY_MOMENTUM,breakout_vol_expansion,finlab_ai_skill_revenue_revision_breakout_v1,-0.2868004561123382,-1.031140023487477,-0.3464777542260885,-0.2781390993829549,-0.12132851625739982,0.3333333333333333,240.0,9.76954732510288,28.0,11.0,0.44569134465220706,
2025,2025-01-01,2025-12-31,active_strategy_spec,active,FinLab AI reversion value,REVENUE_QUALITY_MOMENTUM,mean_reversion,finlab_ai_skill_reversion_value_v1,-0.23995098172118845,-1.2572064280102648,-0.26999060340077674,-0.23246664220847413,-0.0820923834327223,0.16666666666666666,243.0,411.9012345679012,821.0,472.0,0.1712972473625419,
2025,2025-01-01,2025-12-31,active_strategy_spec,active,Trend following seed,TREND_RECLAIM_CONTINUATION,trend_following,trend_following_seed_v1,-0.07722627616127453,-0.29205792343166764,-0.22185877231536133,-0.074573740459698,-0.09667083971202584,0.3333333333333333,243.0,323.9753086419753,878.0,408.0,0.24757672118247576,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,stock_tech_s01_55d_trend_volume_breakout_v1,1.70769762630202,2.908228885008165,-0.10289470307064574,0.5204310697329606,-0.05147095367402499,0.8333333333333334,106.0,10.0,10.0,10.0,0.03301886792452831,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s02_52w_dual_momentum_v1,2.682048219594901,2.615777859822656,-0.19463886970566102,0.7302824387149884,-0.0781940934856511,0.8333333333333334,106.0,10.0,10.0,10.0,0.039622641509433974,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S3 VCP contraction breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s03_vcp_contraction_breakout_v1,-0.20690936688961048,-0.3515858840467561,-0.2581597793702104,-0.09290731931575902,-0.1572493101408856,0.5,79.0,2.4339622641509435,10.0,0.0,0.09099655585504642,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s04_ma_deduct_turn_breakout_v1,4.376549558942328,4.82599474460416,-0.08414708324286535,1.0289686944832517,-0.004894772760815291,0.8333333333333334,106.0,8.264150943396226,10.0,6.0,0.09138215034441446,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S5 first dry pullback,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s05_first_dry_pullback_v1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S6 NR7 inside bar breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s06_nr7_inside_bar_breakout_v1,1.4447046221266033,2.0290113461475747,-0.12069079566740226,0.45647011638974977,-0.09711767577947361,0.6666666666666666,100.0,3.8679245283018866,10.0,1.0,0.14261380652890088,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S7 2B false break reversal,TREND_RECLAIM_CONTINUATION,mean_reversion,stock_tech_s07_2b_false_break_reversal_v1,0.0133391323104457,0.20610830265683322,-0.06946365199449789,0.0055893746440356384,-0.06946365199449789,0.16666666666666666,10.0,0.11320754716981132,2.0,0.0,0.018867924528301886,
2026,2026-01-01,2026-06-15,candidate_stock_tech12,candidate,S8 RSI2 bull mean reversion,TREND_RECLAIM_CONTINUATION,mean_reversion,stock_tech_s08_rsi2_bull_mean_reversion_v1,-0.05241487934322275,0.0677352552515808,-0.17329239623560777,-0.022391853016165753,-0.10212588846436998,0.3333333333333333,104.0,8.179245283018869,10.0,10.0,0.3293501048218029,
