symbol,name,daily_rank,daily_score,signal,confidence,has_buy_signal,recommendation_lane,eligible_for_ml,eligible_for_pending_buy,alpha_engine,alpha_selected,eligible_for_sparse,alpha_selection_reason,sparse_input_blocked_reason,expected_return,expected_return_source,allocation_candidate_pool_size,alpha_bucket,allocation_quota,strategy_count,strategy_ids
8936,國統,30,53.4,BUY,0.6,1,tradable,1,1,sparse_tangent_inverse_risk,1,1,selected_positive_edge_sparse_weight,,0.009002,ml_forecast_pct_plus_market_heat_factor,118,trend_following,2,5,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0109;alpha223_0283;defensive_accumulation_seed_v1
2406,國碩,33,52.6,BUY,0.6902,1,tradable,1,1,sparse_tangent_inverse_risk,1,1,selected_positive_edge_sparse_weight,,0.009002,ml_forecast_pct_plus_market_heat_factor,118,breakout_vol_expansion,2,4,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0166;stock_tech_s02_52w_dual_momentum_v1;trend_quality_breakout_fused_v1
8033,雷虎,60,48.1,BUY,0.6117,1,tradable,1,1,sparse_tangent_inverse_risk,1,1,selected_positive_edge_sparse_weight,,0.009002,ml_forecast_pct_plus_market_heat_factor,118,trend_following,2,4,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;defensive_accumulation_seed_v1;trend_quality_breakout_fused_v1
5371,中光電,87,42.9,BUY,0.6987,1,tradable,1,1,sparse_tangent_inverse_risk,1,1,selected_positive_edge_sparse_weight,,0.009002,ml_forecast_pct_plus_market_heat_factor,118,trend_following,2,5,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0109;alpha223_0248;alpha223_0283;trend_quality_breakout_fused_v1
4958,臻鼎-KY,111,37.3,BUY,0.6,1,tradable,1,1,sparse_tangent_inverse_risk,1,1,selected_positive_edge_sparse_weight,,0.009002,ml_forecast_pct_plus_market_heat_factor,118,trend_following,2,11,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0109;alpha223_0166;alpha223_0248;alpha223_0283;stock_tech_s01_55d_trend_volume_breakout_v1;stock_tech_s02_52w_dual_momentum_v1;stock_tech_s04_ma_deduct_turn_breakout_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1
