basis,strategy_a,strategy_b,a_count,b_count,intersection,union,jaccard,corr_phi
final_selection_160_attribution,alpha223_0166,stock_tech_s04_ma_deduct_turn_breakout_v1,126,10,10,126,0.0794,0.1341
final_selection_160_attribution,alpha223_0166,stock_tech_s06_nr7_inside_bar_breakout_v1,126,10,10,126,0.0794,0.1341
final_selection_160_attribution,alpha223_0166,stock_tech_s01_55d_trend_volume_breakout_v1,126,11,10,127,0.0787,0.0808
final_selection_160_attribution,alpha223_0109,stock_tech_s06_nr7_inside_bar_breakout_v1,101,10,8,103,0.0777,0.0903
final_selection_160_attribution,alpha223_0109,stock_tech_s01_55d_trend_volume_breakout_v1,101,11,8,104,0.0769,0.0541
final_selection_160_attribution,alpha223_0248,stock_tech_s04_ma_deduct_turn_breakout_v1,77,10,6,81,0.0741,0.0614
final_selection_160_attribution,alpha223_0248,stock_tech_s06_nr7_inside_bar_breakout_v1,77,10,6,81,0.0741,0.0614
final_selection_160_attribution,alpha223_0248,stock_tech_s01_55d_trend_volume_breakout_v1,77,11,6,82,0.0732,0.0349
final_selection_160_attribution,alpha223_0009,stock_tech_s01_55d_trend_volume_breakout_v1,81,11,6,86,0.0698,0.0213
final_selection_160_attribution,alpha223_0283,stock_tech_s04_ma_deduct_turn_breakout_v1,101,10,7,104,0.0673,0.0368
final_selection_160_attribution,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s06_nr7_inside_bar_breakout_v1,86,10,6,90,0.0667,0.0324
final_selection_160_attribution,alpha223_0283,stock_tech_s01_55d_trend_volume_breakout_v1,101,11,7,105,0.0667,0.0029
final_selection_160_attribution,alpha223_0009,stock_tech_s06_nr7_inside_bar_breakout_v1,81,10,5,86,0.0581,-0.0032
final_selection_160_attribution,alpha223_0283,stock_tech_s06_nr7_inside_bar_breakout_v1,101,10,6,105,0.0571,-0.0167
final_selection_160_attribution,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s04_ma_deduct_turn_breakout_v1,86,10,5,91,0.0549,-0.0194
final_selection_160_attribution,alpha223_0009,stock_tech_s04_ma_deduct_turn_breakout_v1,81,10,4,87,0.046,-0.0549
final_selection_160_attribution,defensive_accumulation_seed_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,80,10,3,87,0.0345,-0.1033
