basis,strategy_a,strategy_b,a_count,b_count,intersection,union,jaccard,corr_phi
strategy_decision_log_active_strict_match,alpha223_0248,stock_tech_s06_nr7_inside_bar_breakout_v1,107,10,6,111,0.0541,0.142
strategy_decision_log_active_strict_match,defensive_accumulation_seed_v1,stock_tech_s01_55d_trend_volume_breakout_v1,165,11,9,167,0.0539,0.1647
strategy_decision_log_active_strict_match,alpha223_0248,stock_tech_s01_55d_trend_volume_breakout_v1,107,11,6,112,0.0536,0.1296
strategy_decision_log_active_strict_match,alpha223_0109,stock_tech_s04_ma_deduct_turn_breakout_v1,211,10,9,212,0.0425,0.1478
strategy_decision_log_active_strict_match,defensive_accumulation_seed_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,165,10,7,168,0.0417,0.1222
strategy_decision_log_active_strict_match,stock_tech_s04_ma_deduct_turn_breakout_v1,trend_quality_breakout_fused_v1,10,243,10,243,0.0412,0.1562
strategy_decision_log_active_strict_match,stock_tech_s01_55d_trend_volume_breakout_v1,trend_quality_breakout_fused_v1,11,243,10,244,0.041,0.1384
strategy_decision_log_active_strict_match,alpha223_0109,stock_tech_s06_nr7_inside_bar_breakout_v1,211,10,8,213,0.0376,0.1203
strategy_decision_log_active_strict_match,alpha223_0109,stock_tech_s01_55d_trend_volume_breakout_v1,211,11,8,214,0.0374,0.1053
strategy_decision_log_active_strict_match,alpha223_0166,stock_tech_s04_ma_deduct_turn_breakout_v1,270,10,10,270,0.037,0.1421
strategy_decision_log_active_strict_match,alpha223_0166,stock_tech_s06_nr7_inside_bar_breakout_v1,270,10,10,270,0.037,0.1421
strategy_decision_log_active_strict_match,alpha223_0166,stock_tech_s01_55d_trend_volume_breakout_v1,270,11,10,271,0.0369,0.1239
strategy_decision_log_active_strict_match,stock_tech_s06_nr7_inside_bar_breakout_v1,trend_quality_breakout_fused_v1,10,243,9,244,0.0369,0.1294
strategy_decision_log_active_strict_match,alpha223_0283,stock_tech_s04_ma_deduct_turn_breakout_v1,188,10,7,191,0.0366,0.1066
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s01_55d_trend_volume_breakout_v1,216,11,8,219,0.0365,0.1023
strategy_decision_log_active_strict_match,alpha223_0283,stock_tech_s01_55d_trend_volume_breakout_v1,188,11,7,192,0.0365,0.093
strategy_decision_log_active_strict_match,alpha223_0009,stock_tech_s01_55d_trend_volume_breakout_v1,163,11,6,168,0.0357,0.082
strategy_decision_log_active_strict_match,alpha223_0283,stock_tech_s06_nr7_inside_bar_breakout_v1,188,10,6,192,0.0313,0.0783
strategy_decision_log_active_strict_match,alpha223_0009,stock_tech_s06_nr7_inside_bar_breakout_v1,163,10,5,168,0.0298,0.0648
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s06_nr7_inside_bar_breakout_v1,216,10,6,220,0.0273,0.0626
strategy_decision_log_active_strict_match,alpha223_0009,stock_tech_s04_ma_deduct_turn_breakout_v1,163,10,4,169,0.0237,0.0353
strategy_decision_log_active_strict_match,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s04_ma_deduct_turn_breakout_v1,216,10,5,221,0.0226,0.0353
strategy_decision_log_active_strict_match,defensive_accumulation_seed_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,165,10,3,172,0.0174,0.0048
