strategy_factor,strategy_source,strategy_category,nearest_ml106_feature,nearest_abs_rank_corr,overlap_tier,strategy_best_direction,strategy_declared_direction,strategy_is_declared_direction,strategy_best_sharpe,strategy_best_cagr,strategy_best_mdd,strategy_mean_ic_5d,ml106_feature_best_direction,ml106_feature_best_sharpe,ml106_feature_best_cagr,ml106_feature_best_mdd,ml106_mean_ic_5d,action
l1_revenueGrowthYoY,stockvision_l1,l1_signal,atr14,0.18203234428723875,low_novel_lt_0_4,low,1.0,0,1.0425263126340159,0.23100948133828192,-0.23880146019956772,0.009590999114419211,high,1.6696966482004338,0.6210741648358218,-0.1482879342068143,-0.010755671697390275,candidate_add_to_shared_pool
l1_roe,stockvision_l1,l1_signal,bb_lower_raw,0.5736858947838348,medium_related_0_4_0_8,high,1.0,1,1.1161568721072126,0.2579724372223331,-0.2526233467640566,0.0426630777786274,high,1.321298763700008,0.46163260808756545,-0.1346403182765623,0.015953362282694398,keep_but_cluster_with_ml_neighbor
l1_sectorFlowCore,stockvision_l1,l1_signal,BETA_20,0.21419709422419705,low_novel_lt_0_4,high,1.0,1,0.5652181263630363,0.13771475972224922,-0.3375022281473006,0.0032061329011344878,high,1.117169003561477,0.425641304032494,-0.301039073183064,-0.014284701210931674,watch_or_strategy_only
l1_sectorRsMomentum,stockvision_l1,l1_signal,RESI_60,0.2420664049552377,low_novel_lt_0_4,high,1.0,1,0.40874300189475765,0.0993444492738027,-0.2808946203511986,0.006739977157263381,low,0.6161394741084503,0.1933559867768435,-0.44101993371492076,-0.030571293526659913,watch_or_strategy_only
l1_sectorRsRatio,stockvision_l1,l1_signal,BETA_20,0.29265120894891294,low_novel_lt_0_4,high,1.0,1,0.6504335362888203,0.17180979648353167,-0.20556435180998212,0.0019576140875787957,high,1.117169003561477,0.425641304032494,-0.301039073183064,-0.014284701210931674,watch_or_strategy_only
l1_sectorTurnoverShareDelta,stockvision_l1,l1_signal,vol_ratio_20d,0.1295867444913366,low_novel_lt_0_4,low,1.0,0,0.9917632013181301,0.3127320120090402,-0.26047602392305613,-0.0022011811953322777,low,0.5170388258047534,0.07479976644787434,-0.1327605812792646,-0.017806319744645544,candidate_add_to_shared_pool
l1_smcBiasBearish,stockvision_l1,l1_signal,keltner_position,0.7192005331249034,medium_related_0_4_0_8,high,-1.0,0,-0.3582680611264985,-0.026272108172855524,-0.24588176207141688,-0.015909384224597457,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,watch_or_strategy_only
l1_smcBullishScore,stockvision_l1,l1_signal,return_1d,0.8231868660699817,high_duplicate_ge_0_8,high,1.0,1,0.6122549707943886,0.15461711495692287,-0.3955482743982903,-0.024958347213680725,high,0.8281103637579877,0.2124090819322133,-0.2568702205599628,-0.021568016119857314,dedupe_or_keep_as_alias
l1_smcNetScore,stockvision_l1,l1_signal,bb_position,0.6868714942377556,medium_related_0_4_0_8,high,1.0,1,0.691110936044398,0.17633597643335297,-0.34998328865962214,-0.02608234682513816,high,0.7122178279157613,0.14837405278389437,-0.2757609317919303,-0.024891557255207197,watch_or_strategy_only
l1_squeezeMomentum,stockvision_l1,l1_signal,keltner_position,0.8321332196172305,high_duplicate_ge_0_8,high,1.0,1,1.188171267230388,0.3906774443259633,-0.2912762303621763,-0.026841176628363144,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,dedupe_or_keep_as_alias
