feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,materialization_ready,duplicate_level,nearest_feature,nearest_abs_rank_corr,preferred_feature_id,high_duplicate_cluster_id,related_cluster_id,priority,allowed_transforms,feature_selection_entry,activation_state
tech_psy_12,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,related_cluster,CNTP_20,0.77294445,tech_psy_12,74,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_roc_10,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_mtm_10,0.913223,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_sar,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,related_cluster,tech_ema_12_pos,0.7642686,tech_sar,75,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_slow_kd_14,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_kd9_k,0.91050425,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_tower_3,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,related_cluster,l1_smcBullishScore,0.7189618,tech_tower_3,76,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_trix_12,strategy95,technical,core_prior,keep_candidate,materialized,True,high_duplicate,tech_dma_10_50,0.88059952,mom_macd_trend_10,1,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_vr_26,strategy95,technical,core_prior,keep_candidate,materialized,True,related_cluster,tech_obv,0.7470273,tech_vr_26,78,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_williams_r_14,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_donchian_pos_20,0.92179543,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
val_bp,strategy95,valuation,core_prior,keep_candidate,materialized,True,related_cluster,tech_atr_14,0.66490774,val_bp,79,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
val_dp,strategy95,valuation,evidence_watch,watch_not_selector,materialized,True,related_cluster,val_ep,0.59953029,val_dp,80,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
