feature_id,origin_pool,category,recommended_status,recommended_pool,reasons,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage,nearest_feature,nearest_abs_rank_corr
us_sentiment_score,ml106,market_regime,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
us_sox_return,ml106,market_regime,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
us_vix,ml106,market_regime,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
stock_vs_market,ml106,other,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,duplicate_cluster_weaker_than_leader",-0.31471923998086054,-0.030122590969435814,-0.2696602716318982,-0.024371413333793862,0.8490103270223752,return_5d,0.75277361
CNTN_10,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,weak_ic_and_weak_backtest",-0.1956476513973464,-0.025989041496427112,-0.27854834276668183,0.0005345969153825617,0.8490103270223752,CNTN_20,0.71136142
IMAX_20,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,duplicate_cluster_weaker_than_leader",-0.18555567055514574,-0.028011827189906247,-0.42147082771102184,0.009082727729824483,0.8490103270223752,IMXD_20,0.85069775
KMID2,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,duplicate_cluster_weaker_than_leader",-0.1845538387648053,-0.010255000522836566,-0.20231254343714267,-0.017885057880366536,0.8490103270223752,KMID,0.90653843
KSFT2,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,duplicate_cluster_weaker_than_leader",-0.7411505153785028,-0.06599961753047667,-0.2194154792034113,-0.026350872903034304,0.8490103270223752,KSFT,0.88289542
RSQR_5,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,weak_ic_and_weak_backtest",-0.002094991401164653,-0.0008777260292843758,-0.39028614955721086,0.0005648894852897115,0.8490103270223752,rsi5_dulling,0.23527937
margin_change_5d,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
market_bias_20d,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
market_cap_bucket,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
market_return_1d,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
market_return_5d,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
market_risk_level,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
market_risk_score,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
return_5d,ml106,price_technical,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,duplicate_cluster_weaker_than_leader",-0.03920552332232156,-0.011256097664674836,-0.337748082314519,-0.030274600970103344,0.8490103270223752,tech_wma_10_pos,0.78578277
avg_volume_bucket,ml106,sector_metadata,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
sector_encoded,ml106,sector_metadata,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
sector_peer_return_1d,ml106,sector_metadata,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
sector_peer_return_5d,ml106,sector_metadata,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
stock_vs_sector,ml106,sector_metadata,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
has_sentiment,ml106,sentiment,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
sentiment,ml106,sentiment,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
sentiment_3d,ml106,sentiment,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,missing_ic_negative_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,0.8490103270223752,foreign_consecutive_sell,1.0
l1_brokerCount,strategy95,l1_signal,drop_research_candidate,remove_from_selector_candidate_pool,"negative_sharpe_and_cagr,weak_ic_and_weak_backtest",-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,-0.0008362815821029688,1.0,foreign_consecutive_sell,0.76716041
chip_5d,ml106,chip_margin_flow,keep_candidate,active_candidate,,0.8587894339174001,0.2439313920824555,-0.3426538194333647,0.0021503877079820403,0.8490103270223752,,
dealer_ratio_5d,ml106,chip_margin_flow,keep_candidate,active_candidate,,0.8832378493725097,0.18074375127123044,-0.11700189622202894,0.004156387343389379,0.8490103270223752,,
foreign_5d,ml106,chip_margin_flow,keep_candidate,active_candidate,,0.9002877246825243,0.25113361524038624,-0.3264120588582371,0.009623744365891683,0.8490103270223752,,
institutional_net,ml106,chip_margin_flow,keep_candidate,active_candidate,,0.8028180421474613,0.19221564028716132,-0.2974005564647485,0.01461553179441758,0.8490103270223752,,
short_squeeze_proxy,ml106,chip_margin_flow,keep_candidate,active_candidate,,0.19159094695940046,0.03578813339659637,-0.4432393622213532,-0.019598569352920783,0.8490103270223752,,
vol_ratio_20d,ml106,other,keep_candidate,active_candidate,,0.5170388258047534,0.07479976644787434,-0.1327605812792646,-0.017806319744645544,0.8490103270223752,,
CNTD_20,ml106,price_technical,keep_candidate,active_candidate,,0.9807318275518376,0.2472665278244479,-0.25629887146885666,0.004253655684398926,0.8490103270223752,,
CNTD_5,ml106,price_technical,keep_candidate,active_candidate,,0.378086729955027,0.08408231135822009,-0.2488282857699201,-0.015763585566174253,0.8490103270223752,,
CNTP_20,ml106,price_technical,keep_candidate,active_candidate,,1.0992342163780773,0.30592841961204087,-0.25390602450591016,-0.0009401601331177432,0.8490103270223752,,
CNTP_5,ml106,price_technical,keep_candidate,active_candidate,,0.4516561437953129,0.10359945980000251,-0.24810551995961228,-0.01804951616020741,0.8490103270223752,,
CORD_10,ml106,price_technical,keep_candidate,active_candidate,,0.27099576495451244,0.05274356967883698,-0.22975608455038365,-0.034071551312261125,0.8490103270223752,,
CORR_10,ml106,price_technical,keep_candidate,active_candidate,,0.40596350747411103,0.06300348314960735,-0.215631511160006,-0.032580537176863884,0.8490103270223752,,
IMIN_20,ml106,price_technical,keep_candidate,active_candidate,,0.6028733454001812,0.10600118711279816,-0.18265483538954708,0.0022061193201845897,0.8490103270223752,,
IMXD_20,ml106,price_technical,keep_candidate,active_candidate,,0.617580100269255,0.1498800760766914,-0.28000730545254804,0.004077178672048777,0.8490103270223752,,
KLEN,ml106,price_technical,keep_candidate,active_candidate,,0.6068693319881608,0.1705486514243293,-0.38736495329600396,-0.05044792028930972,0.8490103270223752,,
KLOW,ml106,price_technical,keep_candidate,active_candidate,,0.52083573025954,0.11508203157544328,-0.2991935949723702,-0.032584146140033084,0.8490103270223752,,
KMID,ml106,price_technical,keep_candidate,active_candidate,,0.8947735732653767,0.2482570719195467,-0.3352650538468207,-0.016044050814931078,0.8490103270223752,,
KUP2,ml106,price_technical,keep_candidate,active_candidate,,0.46429285394254055,0.07510282180653083,-0.19778641626976323,0.015127223436381228,0.8490103270223752,,
RESI_10,ml106,price_technical,keep_candidate,active_candidate,,0.6961414421710056,0.20162945335112448,-0.34016361966459974,-0.024413536721783594,0.8490103270223752,,
RESI_5,ml106,price_technical,keep_candidate,active_candidate,,0.9357175669691824,0.26426723249716555,-0.3623048814335177,-0.008104311721233284,0.8490103270223752,,
RSQR_10,ml106,price_technical,keep_candidate,active_candidate,,0.5492318597222078,0.10641065479470435,-0.1266014010184564,-0.0005563138075546183,0.8490103270223752,,
RSQR_20,ml106,price_technical,keep_candidate,active_candidate,,1.0360543005281957,0.1997830109927048,-0.1815529209271679,0.011248603066798316,0.8490103270223752,,
RSQR_60,ml106,price_technical,keep_candidate,active_candidate,,0.6591787619746001,0.14461410526109963,-0.19051598577570117,0.0024164649992514803,0.8490103270223752,,
linear_factor,ml106,price_technical,keep_candidate,active_candidate,,1.1061957119556522,0.1855357357240095,-0.17396684163742504,-0.011288672783924866,0.8490103270223752,,
margin_balance,ml106,price_technical,keep_candidate,active_candidate,,1.22696275209144,0.5063645703205581,-0.21257522319569955,0.0009833094987732696,0.8490103270223752,,
margin_change_5d_ts,ml106,price_technical,keep_candidate,active_candidate,,0.9822929877882141,0.1749601967092007,-0.12932851881860463,-0.004256894031606372,0.8490103270223752,,
margin_ratio,ml106,price_technical,keep_candidate,active_candidate,,0.22072981634528877,0.041830105422884456,-0.21528915946603833,0.007365367971281414,0.8490103270223752,,
rsi5_dulling,ml106,price_technical,keep_candidate,active_candidate,,0.88805152574192,0.20600276746850787,-0.2742616335979161,-0.014983518302025453,0.8490103270223752,,
volatility_20d,ml106,price_technical,keep_candidate,active_candidate,,0.15861162721279515,0.033253543999161916,-0.40730346967219666,-0.011327749917532002,0.8490103270223752,,
volatility_5d,ml106,price_technical,keep_candidate,active_candidate,,0.3253250274601661,0.06953433513360352,-0.20063089471742568,-0.015947277093648887,0.8490103270223752,,
tech_bullish_streak_5,strategy95,event,keep_candidate,active_candidate,,0.627464809272618,0.11745406563638427,-0.19946566022387324,-0.013881285033494234,1.0,,
tech_disposal_active,strategy95,event,keep_candidate,active_candidate,,0.22335009573275666,0.04711580003232285,-0.46121354860711583,-0.003577431567739164,1.0,,
tech_gap_down,strategy95,event,keep_candidate,active_candidate,,-0.13270302829605743,0.0031807753869328437,-0.1522391503479512,0.0059718123397527936,1.0,,
tech_gap_up,strategy95,event,keep_candidate,active_candidate,,0.5839469258395621,0.12280510767649733,-0.2632860921532625,-0.0070815097748843535,1.0,,
tech_limit_down_count_10,strategy95,event,keep_candidate,active_candidate,,0.48916228194607214,0.14123231593221242,-0.46414766693940523,0.0075002017321804445,1.0,,
tech_limit_up_streak_10,strategy95,event,keep_candidate,active_candidate,,0.6727689530063008,0.19598680087708042,-0.3761747692549413,0.026331679708559236,1.0,,
tech_locked_open_down_10,strategy95,event,keep_candidate,active_candidate,,0.09526026195054785,0.02328998020436579,-0.219070377861193,0.007954923747138052,1.0,,
tech_locked_open_up_10,strategy95,event,keep_candidate,active_candidate,,0.673262592113276,0.13671178997798816,-0.1729674037731911,0.00483954471717201,1.0,,
l1_brokerConcentration,strategy95,l1_signal,keep_candidate,active_candidate,,1.0879448112873897,0.2412580376394189,-0.12199953176301293,0.0032956692587014958,0.8485880398671096,,
l1_brokerNetAmount5d,strategy95,l1_signal,keep_candidate,active_candidate,,1.5373269992968763,0.5359888894284226,-0.13587906321826781,-0.007521262249676595,0.8431543449545691,,
l1_eps,strategy95,l1_signal,keep_candidate,active_candidate,,1.3845698183864072,0.40860573862387484,-0.11674979841497535,0.04367495258230366,0.9356022095024616,,
l1_foreignTrustNet5d,strategy95,l1_signal,keep_candidate,active_candidate,,1.1059848574008482,0.2778934779102269,-0.1854507422089472,0.00019532907842735887,1.0,,
l1_macdHist,strategy95,l1_signal,keep_candidate,active_candidate,,1.1774862330876956,0.3453814958387902,-0.27315797770802974,-0.021495125567087565,0.947664411800024,,
l1_monthlyRevenueMoM,strategy95,l1_signal,keep_candidate,active_candidate,,0.8110513446759969,0.1763540220515194,-0.26102921807569235,0.005117606036915116,0.9602069407196894,,
l1_monthlyRevenueYoY,strategy95,l1_signal,keep_candidate,active_candidate,,0.29907959319454097,0.06930578083942396,-0.420342003431565,0.024659111490249887,0.959682584157227,,
l1_revenueGrowthYoY,strategy95,l1_signal,keep_candidate,active_candidate,,1.0425263126340159,0.23100948133828192,-0.23880146019956772,0.009590999114419211,0.9201497017972221,,
l1_squeezeMomentum,strategy95,l1_signal,keep_candidate,active_candidate,,1.188171267230388,0.3906774443259633,-0.2912762303621763,-0.026841176628363144,0.8289877116439178,,
l1_volumeExpansion20,strategy95,l1_signal,keep_candidate,active_candidate,,0.298814288574921,0.06909922643270439,-0.2635652773901642,-0.016374917308569815,0.8472741464195653,,
mom_close_to_52w_high,strategy95,momentum,keep_candidate,active_candidate,,1.197084833838478,0.2675524819928632,-0.23903821719133767,0.029051965857742987,0.7389965176319897,,
mom_hl52,strategy95,momentum,keep_candidate,active_candidate,,1.5289672019025116,0.4028287727256945,-0.26652248227267306,0.008560041936923373,0.7389965176319897,,
mom_macd_trend_10,strategy95,momentum,keep_candidate,active_candidate,,1.4511224098652704,0.505871526589152,-0.24251694478596542,-0.004295178043695222,0.947664411800024,,
size_log_mktcap,strategy95,size,keep_candidate,active_candidate,,1.761838651432996,0.45215565615268805,-0.08287270434707628,-0.02933103388932737,0.8990653644478245,,
tech_adx_14,strategy95,technical,keep_candidate,active_candidate,,0.8951033835393679,0.23085137531971633,-0.28675862549103426,0.0011158948052711773,0.9430832966417164,,
tech_atr_14,strategy95,technical,keep_candidate,active_candidate,,1.6244918233475525,0.5884929786548279,-0.14828783657571565,0.01032094364570334,0.9445332826321899,,
tech_dma_10_50,strategy95,technical,keep_candidate,active_candidate,,1.3871775195061278,0.48715579247388807,-0.2540742809829164,-0.005591782171573579,0.810510146899892,,
tech_emv_14,strategy95,technical,keep_candidate,active_candidate,,1.1391190681485723,0.38090325828724847,-0.16931896718714323,0.0002660509499571099,0.8330084457431053,,
