pool,feature_id,source,category,monthly_sharpe,cagr,max_drawdown,nearest_other_feature,nearest_abs_rank_corr,overlap_tier,status_current,eligible_current,reason_code
ml106,IMXD_20,stockvision_ml106,price_technical,0.617580,14.99%,-28.00%,strategy95_max_corr,0.741112,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,RESI_60,stockvision_ml106,price_technical,0.616139,19.34%,-44.10%,strategy95_max_corr,0.782814,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,KLEN,stockvision_ml106,price_technical,0.606869,17.05%,-38.74%,strategy95_max_corr,0.667004,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,IMIN_20,stockvision_ml106,price_technical,0.602873,10.60%,-18.27%,strategy95_max_corr,0.627137,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,KSFT,stockvision_ml106,price_technical,0.601646,15.90%,-46.77%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,vwap_bias_5d,stockvision_ml106,price_technical,0.596290,15.67%,-39.67%,strategy95_max_corr,0.942783,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,RSQR_10,stockvision_ml106,price_technical,0.549232,10.64%,-12.66%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,KLOW,stockvision_ml106,price_technical,0.520836,11.51%,-29.92%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,vol_ratio_20d,stockvision_ml106,other,0.517039,7.48%,-13.28%,strategy95_max_corr,0.737587,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,KUP,stockvision_ml106,price_technical,0.504293,13.23%,-36.24%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,ma5_bias,stockvision_ml106,price_technical,0.492591,12.35%,-44.93%,strategy95_max_corr,0.954574,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,keltner_position,stockvision_ml106,price_technical,0.476744,11.08%,-32.76%,strategy95_max_corr,0.970339,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,KUP2,stockvision_ml106,price_technical,0.464293,7.51%,-19.78%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,CNTP_5,stockvision_ml106,price_technical,0.451656,10.36%,-24.81%,strategy95_max_corr,0.637020,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,BETA_5,stockvision_ml106,price_technical,0.450158,11.58%,-45.41%,strategy95_max_corr,0.867898,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,CORR_10,stockvision_ml106,price_technical,0.405964,6.30%,-21.56%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,ma10_bias,stockvision_ml106,price_technical,0.392417,9.47%,-38.63%,strategy95_max_corr,0.961527,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,CNTD_5,stockvision_ml106,price_technical,0.378087,8.41%,-24.88%,strategy95_max_corr,0.636038,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,return_3d,stockvision_ml106,price_technical,0.343043,7.63%,-30.00%,strategy95_max_corr,0.788181,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,ma20_bias,stockvision_ml106,price_technical,0.336626,7.58%,-26.91%,strategy95_max_corr,0.811253,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,volatility_5d,stockvision_ml106,price_technical,0.325325,6.95%,-20.06%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
