pool,feature_id,source,category,monthly_sharpe,cagr,max_drawdown,nearest_other_feature,nearest_abs_rank_corr,overlap_tier,status_current,eligible_current,reason_code
strategy95,l1_dealerNet5d,stockvision_l1,l1_signal,0.966359,28.76%,-20.93%,dealer_5d,0.989554,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,val_bp,alphabuilderstw,valuation,0.960608,33.45%,-23.38%,atr14,0.697575,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_slow_kd_14,alphabuilderstw,technical,0.943802,26.86%,-19.64%,keltner_position,0.876376,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_roc_10,alphabuilderstw,technical,0.939215,30.84%,-38.64%,BETA_10,0.859545,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_ma_convergence,alphabuilderstw,technical,0.938777,30.11%,-28.55%,RSQR_20,0.584500,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_12m_1m,alphabuilderstw,momentum,0.916037,29.88%,-25.73%,atr14,0.316039,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_rsi_14,alphabuilderstw,momentum,0.897542,25.13%,-26.62%,rsi14,0.999393,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_cmo_14,alphabuilderstw,technical,0.897542,25.13%,-26.62%,rsi14,0.999393,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_adx_14,alphabuilderstw,technical,0.895103,23.09%,-28.68%,volatility_20d,0.344297,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_kd9_k,alphabuilderstw,technical,0.891340,24.76%,-29.68%,keltner_position,0.827449,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_bestFvgStrength,stockvision_l1,l1_signal,0.862161,22.07%,-43.58%,ma5_bias,0.437796,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_obv,alphabuilderstw,technical,0.852430,20.36%,-29.93%,CNTD_20,0.593554,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vol_money_flow_5d,alphabuilderstw,volume,0.822708,24.06%,-39.24%,ma5_bias,0.954574,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_bbBandwidthPct,stockvision_l1,l1_signal,0.811167,25.82%,-37.40%,KLEN,0.595918,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_monthlyRevenueMoM,stockvision_l1,l1_signal,0.811051,17.64%,-26.10%,BETA_20,0.134952,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_williams_r_14,alphabuilderstw,technical,0.795133,16.98%,-23.84%,bb_position,0.868186,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_keltner_pos_20,alphabuilderstw,technical,0.789413,20.92%,-30.07%,keltner_position,0.970339,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_vr_26,alphabuilderstw,technical,0.776538,20.12%,-33.13%,CNTD_20,0.608571,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_bias_20,alphabuilderstw,technical,0.755247,22.41%,-34.98%,keltner_position,0.945089,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_sma_20_pos,alphabuilderstw,technical,0.755247,22.41%,-34.98%,keltner_position,0.945089,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_bestOrderBlockStrength,stockvision_l1,l1_signal,0.726727,19.52%,-38.70%,return_1d,0.829664,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_bbands_pctb_20,alphabuilderstw,technical,0.721127,14.84%,-27.75%,bb_position,0.999944,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_donchian_pos_20,alphabuilderstw,technical,0.720112,16.45%,-29.88%,keltner_position,0.910774,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_bbi,alphabuilderstw,technical,0.715048,20.48%,-42.72%,ma10_bias,0.932619,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_bosBullish,stockvision_l1,l1_signal,0.704578,17.16%,-33.47%,bb_position,0.341837,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_displacementPct,stockvision_l1,l1_signal,0.697023,19.92%,-41.80%,return_1d,0.832578,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_smcNetScore,stockvision_l1,l1_signal,0.691111,17.63%,-35.00%,bb_position,0.686871,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_locked_open_up_10,alphabuilderstw,event,0.673263,13.67%,-17.30%,keltner_position,0.085369,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_limit_up_streak_10,alphabuilderstw,event,0.672769,19.60%,-37.62%,KLEN,0.332949,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_sectorRsRatio,stockvision_l1,l1_signal,0.650434,17.18%,-20.56%,BETA_20,0.292651,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_bullish_streak_5,alphabuilderstw,event,0.627465,11.75%,-19.95%,CNTP_5,0.594421,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_psy_12,alphabuilderstw,technical,0.625398,14.71%,-26.64%,CNTP_10,0.900998,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_diTrend,stockvision_l1,l1_signal,0.617437,15.26%,-28.87%,keltner_position,0.811991,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_ema_12_pos,alphabuilderstw,technical,0.614151,16.78%,-40.26%,ma10_bias,0.944142,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_smcBullishScore,stockvision_l1,l1_signal,0.612255,15.46%,-39.55%,return_1d,0.823187,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_gap_up,alphabuilderstw,event,0.583947,12.28%,-26.33%,return_1d,0.228006,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vol_cv_volprice_20d,alphabuilderstw,volume,0.570571,9.97%,-20.36%,volatility_20d,0.366385,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_sectorFlowCore,stockvision_l1,l1_signal,0.565218,13.77%,-33.75%,BETA_20,0.214197,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vola_realized_12m,alphabuilderstw,volatility,0.504057,11.57%,-25.71%,KLEN,0.572280,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_sar,alphabuilderstw,technical,0.496717,12.82%,-40.81%,ma10_bias,0.784036,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_limit_down_count_10,alphabuilderstw,event,0.489162,14.12%,-46.41%,atr14,0.132009,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vola_min_130d,alphabuilderstw,volatility,0.484705,4.47%,-5.75%,atr14,0.394072,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_kdj_j_9,alphabuilderstw,technical,0.465468,9.56%,-32.94%,ma10_bias,0.838437,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_wma_10_pos,alphabuilderstw,technical,0.460121,11.94%,-38.58%,ma10_bias,0.961527,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_sectorRsMomentum,stockvision_l1,l1_signal,0.408743,9.93%,-28.09%,RESI_60,0.242066,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_cci_20,alphabuilderstw,technical,0.383627,8.16%,-33.20%,bb_position,0.976723,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vola_realized_1m,alphabuilderstw,volatility,0.318364,7.48%,-39.79%,KLEN,0.667004,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_monthlyRevenueYoY,stockvision_l1,l1_signal,0.299080,6.93%,-42.03%,atr14,0.195823,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_volumeExpansion20,stockvision_l1,l1_signal,0.298814,6.91%,-26.36%,vol_ratio_20d,0.538497,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_volume_ratio_5,alphabuilderstw,technical,0.293427,6.38%,-32.47%,vol_ratio_5d,0.942353,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_mfi_14,alphabuilderstw,technical,0.292498,6.51%,-31.58%,rsi14,0.788998,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_disposal_active,alphabuilderstw,event,0.223350,4.71%,-46.12%,BETA_20,0.109857,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vol_signal_5d,alphabuilderstw,volume,0.207664,4.27%,-28.16%,volatility_5d,0.509531,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_squeezeRelease,stockvision_l1,l1_signal,0.132016,2.93%,-25.11%,RSQR_5,0.074945,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_locked_open_down_10,alphabuilderstw,event,0.095260,2.33%,-21.91%,BETA_10,0.068510,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,vol_chg_turnover_1y,alphabuilderstw,volume,0.083406,0.90%,-43.47%,vol_ratio_20d,0.492478,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_chochBullish,stockvision_l1,l1_signal,0.015349,1.64%,-16.97%,return_1d,0.278795,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,val_ep,alphabuilderstw,valuation,-0.081939,-1.04%,-26.59%,KLEN,0.232679,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_gap_down,alphabuilderstw,event,-0.132703,0.32%,-15.22%,return_1d,0.180814,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_liquiditySweepBullish,stockvision_l1,l1_signal,-0.153634,0.05%,-15.88%,IMIN_20,0.166597,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_brokerCount,stockvision_l1,l1_signal,-0.232864,-0.74%,-18.05%,sentiment,0.767160,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_tower_3,alphabuilderstw,technical,-0.243894,-0.90%,-18.95%,ma5_bias,0.611636,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,val_dp,alphabuilderstw,valuation,-0.244621,-2.31%,-31.03%,KLEN,0.308197,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_smcBiasBearish,stockvision_l1,l1_signal,-0.358268,-2.63%,-24.59%,keltner_position,0.719201,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
