strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
tech_slow_kd_14,alphabuilderstw,technical,rsi14,0.8522946467606434,0.8522946467606434,846964,-0.008466635073151298,-0.016774643423643286
mom_reversal_1m,alphabuilderstw,momentum,BETA_20,-0.8504360426556363,0.8504360426556363,843817,0.02252116697656678,-0.014284701210931674
tech_bbands_pctb_20,alphabuilderstw,technical,rsi14,0.8496212289495533,0.8496212289495533,828424,-0.025125465225420657,-0.016774643423643286
mom_rsi_14,alphabuilderstw,momentum,bb_position,0.848894021832847,0.848894021832847,832442,-0.016680265262073793,-0.024891557255207197
tech_cmo_14,alphabuilderstw,technical,bb_position,0.8488938935998928,0.8488938935998928,832442,-0.016679944600498108,-0.024891557255207197
tech_roc_10,alphabuilderstw,technical,keltner_position,0.8404807782883007,0.8404807782883007,845184,-0.02591106281862681,-0.026209558310383026
tech_kdj_j_9,alphabuilderstw,technical,ma10_bias,0.8384366066162492,0.8384366066162492,847529,-0.022252550501434633,-0.039719990304153976
tech_cci_20,alphabuilderstw,technical,rsi14,0.832827984180415,0.832827984180415,828424,-0.019377130117994135,-0.016774643423643286
l1_displacementPct,stockvision_l1,l1_signal,return_1d,0.8325779071555237,0.8325779071555237,846744,-0.028612316377270106,-0.021568016119857314
l1_squeezeMomentum,stockvision_l1,l1_signal,keltner_position,0.8321332196172305,0.8321332196172305,828424,-0.026841176628363144,-0.026209558310383026
l1_bestOrderBlockStrength,stockvision_l1,l1_signal,return_1d,0.8296635476515916,0.8296635476515916,844893,-0.02856489232809008,-0.021568016119857314
tech_kd9_k,alphabuilderstw,technical,keltner_position,0.8274492501754852,0.8274492501754852,847529,-0.012073761323824895,-0.026209558310383026
tech_kd9_k,alphabuilderstw,technical,BETA_10,0.8266607540892928,0.8266607540892928,847529,-0.012073761323824895,-0.024214918688092158
tech_roc_10,alphabuilderstw,technical,return_10d,0.8260877688863996,0.8260877688863996,845184,-0.02591106281862681,-0.02233427592210728
l1_smcBullishScore,stockvision_l1,l1_signal,return_1d,0.8231868660699817,0.8231868660699817,848433,-0.024958347213680725,-0.021568016119857314
tech_bias_20,alphabuilderstw,technical,ma10_bias,-0.8224738298708836,0.8224738298708836,828424,0.03349804841805848,-0.039719990304153976
tech_sma_20_pos,alphabuilderstw,technical,ma10_bias,0.8224738051656807,0.8224738051656807,828424,-0.0334980484653778,-0.039719990304153976
tech_donchian_pos_20,alphabuilderstw,technical,rsi14,0.8223213555630127,0.8223213555630127,828424,-0.018193219221246136,-0.016774643423643286
tech_bbands_pctb_20,alphabuilderstw,technical,ma10_bias,0.8184825675003594,0.8184825675003594,828424,-0.025125465225420657,-0.039719990304153976
tech_psy_12,alphabuilderstw,technical,CNTD_10,-0.8172819085527367,0.8172819085527367,848433,0.008930668763483758,-0.005742618260648549
tech_slow_kd_14,alphabuilderstw,technical,bb_position,0.8168996868875692,0.8168996868875692,846964,-0.008466635073151298,-0.024891557255207197
tech_williams_r_14,alphabuilderstw,technical,ma10_bias,-0.8127228784997954,0.8127228784997954,833309,0.01955197803203668,-0.039719990304153976
l1_diTrend,stockvision_l1,l1_signal,keltner_position,0.8119909301722285,0.8119909301722285,846964,-0.027199473141347547,-0.026209558310383026
tech_bbands_pctb_20,alphabuilderstw,technical,ma20_bias,0.8112532341013932,0.8112532341013932,828424,-0.025125465225420657,-0.027081082099558094
tech_keltner_pos_20,alphabuilderstw,technical,ma10_bias,0.8070010917533607,0.8070010917533607,846288,-0.028257118209128525,-0.039719990304153976
tech_bias_20,alphabuilderstw,technical,BETA_10,-0.8069937963557012,0.8069937963557012,828424,0.03349804841805848,-0.024214918688092158
