strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
tech_roc_10,alphabuilderstw,technical,BETA_10,0.8595449673452337,0.8595449673452337,845184,-0.02591106281862681,-0.024214918688092158
mom_reversal_1m,alphabuilderstw,momentum,BETA_20,-0.8504360426556363,0.8504360426556363,843817,0.02252116697656678,-0.014284701210931674
tech_kdj_j_9,alphabuilderstw,technical,ma10_bias,0.8384366066162492,0.8384366066162492,847529,-0.022252550501434633,-0.039719990304153976
l1_displacementPct,stockvision_l1,l1_signal,return_1d,0.8325779071555237,0.8325779071555237,846744,-0.028612316377270106,-0.021568016119857314
l1_squeezeMomentum,stockvision_l1,l1_signal,keltner_position,0.8321332196172305,0.8321332196172305,828424,-0.026841176628363144,-0.026209558310383026
l1_bestOrderBlockStrength,stockvision_l1,l1_signal,return_1d,0.8296635476515916,0.8296635476515916,844893,-0.02856489232809008,-0.021568016119857314
tech_kd9_k,alphabuilderstw,technical,keltner_position,0.8274492501754852,0.8274492501754852,847529,-0.012073761323824895,-0.026209558310383026
l1_smcBullishScore,stockvision_l1,l1_signal,return_1d,0.8231868660699817,0.8231868660699817,848433,-0.024958347213680725,-0.021568016119857314
l1_diTrend,stockvision_l1,l1_signal,keltner_position,0.8119909301722285,0.8119909301722285,846964,-0.027199473141347547,-0.026209558310383026
tech_trix_12,alphabuilderstw,technical,BETA_20,0.8007639966642022,0.8007639966642022,848320,-0.007334643418841766,-0.014284701210931674
tech_mfi_14,alphabuilderstw,technical,rsi14,-0.7889981265816077,0.7889981265816077,847996,0.021913024991509725,-0.016774643423643286
tech_sar,alphabuilderstw,technical,ma10_bias,0.7840362251158987,0.7840362251158987,848433,-0.02242895186482997,-0.039719990304153976
l1_closeAboveMa60Pct,stockvision_l1,l1_signal,BETA_60,0.7838344356715108,0.7838344356715108,804820,-0.017697676680799728,0.0024759305610545326
tech_mtm_10,alphabuilderstw,technical,BETA_10,0.7773102932894681,0.7773102932894681,845184,-0.023668102696947795,-0.024214918688092158
liq_amihud_21d,alphabuilderstw,volatility,VSTD_20,-0.7678303012502202,0.7678303012502202,827570,-0.017234238980589386,-0.009164277254993572
l1_brokerCount,stockvision_l1,l1_signal,sentiment,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
vol_share_turnover_21d,alphabuilderstw,volume,VSTD_20,-0.7624014409464724,0.7624014409464724,824510,0.022877627495641394,-0.009164277254993572
mom_macd_trend_10,alphabuilderstw,momentum,BETA_60,0.7535222482621335,0.7535222482621335,848433,-0.004295178043695222,0.0024759305610545326
tech_dma_10_50,alphabuilderstw,technical,BETA_60,0.723710825044775,0.723710825044775,809959,-0.005591782171573579,0.0024759305610545326
l1_smcBiasBearish,stockvision_l1,l1_signal,keltner_position,0.7192005331249034,0.7192005331249034,848433,-0.015909384224597457,-0.026209558310383026
l1_foreignTrustNet5d,stockvision_l1,l1_signal,chip_5d,0.7178817238345216,0.7178817238345216,848433,0.00019532907842735887,0.0021503877079820403
val_bp,alphabuilderstw,valuation,atr14,-0.6975749766990944,0.6975749766990944,845050,0.014565206117043691,-0.010755671697390275
l1_eps,stockvision_l1,l1_signal,bb_lower_raw,0.6914059217426676,0.6914059217426676,844827,0.04367495258230366,0.015953362282694398
l1_smcNetScore,stockvision_l1,l1_signal,bb_position,0.6868714942377556,0.6868714942377556,848433,-0.02608234682513816,-0.024891557255207197
vola_realized_1m,alphabuilderstw,volatility,KLEN,-0.6670040182754565,0.6670040182754565,846066,0.0394532361551591,-0.05044792028930972
tech_tower_3,alphabuilderstw,technical,ma5_bias,0.6116364261187655,0.6116364261187655,848433,-0.02050347039087278,-0.03868098345144716
tech_vr_26,alphabuilderstw,technical,CNTD_20,0.6085714324144167,0.6085714324144167,843778,-0.01171049680086905,0.004253655684398926
mom_hl52,alphabuilderstw,momentum,BETA_60,0.6059725805691121,0.6059725805691121,738494,0.008560041936923373,0.0024759305610545326
l1_bbBandwidthPct,stockvision_l1,l1_signal,KLEN,0.5959180308267602,0.5959180308267602,828424,-0.028956061523209484,-0.05044792028930972
tech_bullish_streak_5,alphabuilderstw,event,CNTP_5,0.5944209378532728,0.5944209378532728,848433,-0.013881285033494234,-0.01804951616020741
tech_obv,alphabuilderstw,technical,CNTD_20,0.593553505439773,0.593553505439773,845355,-0.01642460306377414,0.004253655684398926
tech_ma_convergence,alphabuilderstw,technical,RSQR_20,-0.5844999956250586,0.5844999956250586,842581,0.01772603473902206,0.011248603066798316
mom_reversal_6m,alphabuilderstw,momentum,BETA_60,-0.5792697485404481,0.5792697485404481,832215,0.004860795599460537,0.0024759305610545326
l1_roe,stockvision_l1,l1_signal,bb_lower_raw,0.5736858947838348,0.5736858947838348,844827,0.0426630777786274,0.015953362282694398
vola_realized_12m,alphabuilderstw,volatility,KLEN,-0.5722803192181395,0.5722803192181395,823267,0.042281460175741956,-0.05044792028930972
tech_emv_14,alphabuilderstw,technical,rsi14,0.5690735844210619,0.5690735844210619,832442,0.0002660509499571099,-0.016774643423643286
size_log_mktcap,alphabuilderstw,size,VSTD_10,-0.5609764382039321,0.5609764382039321,844845,-0.02933103388932737,-0.011198127329158208
l1_brokerConcentration,stockvision_l1,l1_signal,return_1d,-0.5565778675876174,0.5565778675876174,848010,0.0032956692587014958,-0.021568016119857314
vola_cv_90d,alphabuilderstw,volatility,KLEN,-0.5555163782732048,0.5555163782732048,790771,0.02387624343868334,-0.05044792028930972
