stock_id,symbol,date,atr14,rsi14,macd_hist
3158,2603,2026-04-05,5.678571428571429,44.79166666666667,-1.700344716460393
7,5515,2026-04-03,0.9785714285714268,53.02013422818789,-0.16274169004282846
13,2345,2026-04-03,98.92857142857143,59.55056179775281,-5.276777058854279
16,2606,2026-04-03,1.7571428571428582,50,-0.09475638370464656
22,2605,2026-04-03,3.025000000000001,68.55524079320112,-0.2090019818528983
261,6739,2026-04-03,97.85714285714286,62.39316239316239,-1.4203862887119811
304,2258,2026-04-03,1.1107142857142855,18.47133757961781,-0.24724041799396979
616,6547,2026-04-03,3.5107142857142857,81.87134502923976,1.2370982930880343
714,6462,2026-04-03,4.6499999999999995,61.049723756906076,1.2720638714467785
834,5475,2026-04-03,20.464285714285715,59.036144578313255,0.37516005992682366
995,6227,2026-04-03,3.364285714285713,74.19354838709678,0.7928254660894236
1015,6245,2026-04-03,2.328571428571427,69.2307692307693,0.4359106088319997
1053,6023,2026-04-03,1.692857142857143,66.0194174757281,0.379232234330659
1092,5880,2026-04-03,0.34642857142857103,61.40350877192979,0.09917180688078202
1234,8027,2026-04-03,9.714285714285714,84.21052631578948,4.823394549663787
1416,9941,2026-04-03,1.749999999999999,51.75438596491225,0.047053515404454245
1420,9945,2026-04-03,0.6642857142857144,28.07017543859648,-0.007472242109673455
1692,6589,2026-04-03,1.9714285714285715,52.08333333333332,0.12266943297642707
1718,6683,2026-04-03,120,67.97752808988764,17.386709113622913
1749,6664,2026-04-03,16.178571428571427,88.20754716981132,7.317663105374546
1832,7709,2026-04-03,4.821428571428571,70.12195121951221,1.4844947061931606
2000,1808,2026-04-03,0.8428571428571424,41.80327868852458,0.03534389650655248
2009,1734,2026-04-03,0.43214285714285744,56.52173913043478,0.028261567048001257
2042,2102,2026-04-03,0.5428571428571433,72.05882352941177,0.1389827291617809
2045,2105,2026-04-03,0.75,65.24822695035462,0.24467541330346554
2053,2204,2026-04-03,1.3428571428571427,42.55319148936171,0.09015067432640678
2066,2015,2026-04-03,1.6342857142857135,42.34172906739278,-0.49882216417161684
2076,2030,2026-04-03,0.6,59.756097560975604,0.02957110736436245
2085,2006,2026-04-03,1.7864285714285708,34.41199684293606,-0.7102455347031122
2137,1522,2026-04-03,0.9428571428571431,19.760479041916184,0.0971905166920024
2353,2243,2026-04-03,1.5571428571428565,65.35714285714286,0.08345227691917678
2453,1303,2026-04-03,5.650000000000001,43.675889328063235,-0.5409099433610376
2474,1210,2026-04-03,0.8571428571428577,69.56521739130433,0.08177466419514678
2479,1218,2026-04-03,0.21785714285714367,63.636363636363605,0.025372624846942138
2894,4142,2026-04-03,0.47857142857142804,79.16666666666674,0.12930506084815954
2895,4162,2026-04-03,1.3142857142857143,59.57446808510635,0.4770696548834621
2930,4130,2026-04-03,1.9499999999999995,56.77655677655675,0.42219469918000013
3076,2892,2026-04-03,0.4428571428571428,41.93548387096773,-0.026147964780260546
3090,2851,2026-04-03,0.6285714285714291,64.4230769230769,-0.029731046741059863
3209,3162,2026-04-03,2.6714285714285704,63.402061855670105,0.3386562539458461
3210,3163,2026-04-03,76.85714285714286,55.228758169934636,-8.070662663610861
3218,3176,2026-04-03,1.5250000000000008,61.111111111111114,0.045887290851228835
3401,3081,2026-04-03,145.71428571428572,64.91228070175438,9.595676385270394
1,2412,2026-04-01,1.5357142857142858,38.888888888888886,-0.32083647356040457
2,3045,2026-04-01,1.1785714285714286,73.33333333333333,0.02652596834394605
21,2208,2026-04-01,0.7857142857142857,39.130434782608695,-0.10620381711089205
48,3450,2026-04-01,18.857142857142858,39.285714285714285,-4.104653438799257
204,4530,2026-04-01,1.7928571428571423,47.12041884816756,-0.10450266527731511
566,6510,2026-04-01,277.85714285714283,20.872274143302178,-66.71088168489716
615,6271,2026-04-01,8.357142857142858,49.59349593495935,-1.194073495665216
690,6488,2026-04-01,20.785714285714285,47.31861198738169,-2.367350407830499
691,6285,2026-04-01,12.321428571428571,56.140350877192986,-0.18598035874488827
745,5347,2026-04-01,6.964285714285714,58.94736842105264,0.4087385419357852
811,5483,2026-04-01,6.178571428571429,50,-0.9548144610495515
851,4967,2026-04-01,21.5,56.98005698005697,-3.316949340485416
856,4973,2026-04-01,7.385714285714285,50.40840140023337,-2.1453887882113687
878,4938,2026-04-01,2.5142857142857147,53.0386740331492,0.011708286779962052
894,5222,2026-04-01,4.214285714285714,36.0655737704918,-0.6794072605335906
986,6182,2026-04-01,1.867857142857143,50.8833922261484,-0.1277237400041793
1154,7879,2026-04-01,14.757142857142858,69.17127071823205,3.8599718716458646
1195,7866,2026-04-01,20.599999999999998,68.86281588447653,-1.6154084080528417
1467,8150,2026-04-01,3.085714285714284,37.272727272727266,-0.8899795541445761
1555,8299,2026-04-01,129.28571428571428,32.58426966292136,-35.85438691527557
1579,6770,2026-04-01,5.464285714285716,40.04854368932038,-1.993751498210479
1717,6682,2026-04-01,3.385714285714286,27.91411042944786,-0.6407606191516906
1782,6980,2026-04-01,16.821428571428573,58.00865800865801,1.478170955833991
1841,7707,2026-04-01,16.392857142857142,63.51931330472103,0.7664423765438837
2130,1513,2026-04-01,4.892857142857143,31.8840579710145,-1.3378290347353925
2216,2408,2026-04-01,18.964285714285715,40.59405940594059,-3.824675306821211
2263,2438,2026-04-01,1.3642857142857152,65,0.2243807045371331
2317,2308,2026-04-01,81.42857142857143,58.13953488372093,-6.381928939720197
2328,2317,2026-04-01,5.678571428571429,33.009708737864074,-1.1061452822045412
2341,2303,2026-04-01,1.7214285714285704,38.0597014925373,-0.24218981506018433
2347,2233,2026-04-01,10.142857142857142,49.61832061068702,-0.6579016379723083
2371,2330,2026-04-01,45.714285714285715,46.34146341463415,-9.90525544502776
2384,2354,2026-04-01,1.4928571428571433,43.750000000000014,-0.004283453575571139
2410,2342,2026-04-01,1.5249999999999986,38.207547169811306,-0.32480450259368293
2412,2344,2026-04-01,8.621428571428572,36.94581280788176,-2.6586639604347457
2608,3711,2026-04-01,17.821428571428573,58.609271523178805,-0.8270819307446118
2713,3532,2026-04-01,10.5,55.487804878048784,-0.3044372153924524
2740,3491,2026-04-01,117.14285714285714,53.55450236966824,3.0704196183640278
2839,4904,2026-04-01,1.7285714285714278,54.60992907801417,-0.1543215428480813
2841,4906,2026-04-01,3.0285714285714294,73.71323529411764,0.7649847824861369
3093,2634,2026-04-01,1.417857142857143,33.64928909952607,-0.28906150722550095
3183,2498,2026-04-01,1.3535714285714282,38.116591928251104,-0.056958263287279376
3244,3105,2026-04-01,32.107142857142854,59.221311475409834,2.8622525068238573
3309,3260,2026-04-01,37.78285714285715,49.73557577778836,-9.38720090909133
3354,3005,2026-04-01,5.578571428571429,7.15883668903804,-4.329112171876423
3370,3016,2026-04-01,3.3000000000000016,33.333333333333314,-1.0602535335537044
1,2412,2026-03-31,1.5357142857142858,35.294117647058826,-0.37613172141549717
2,3045,2026-03-31,1.1785714285714286,71.42857142857143,0.020790073859613734
21,2208,2026-03-31,0.7857142857142857,41.66666666666667,-0.0772147320606022
