strategy_id,name,family_id,alpha_bucket,status,reason,missing_feature_keys,elapsed_s,match_days,avg_daily_matches,max_daily_matches,latest_matches,recent5_match_counts,recent5_all_positive,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_trade_return,median_trade_return
alpha_miner_pymoo_nsga3_novelty_0193,Pymoo NSGA-III novelty 0193 sentiment margin flow,SMART_MONEY_ACCUMULATION,defensive_accumulation,unsupported_feature,missing_feature_key,"['factorSignals.margin_balance', 'factorSignals.us_sentiment_score']",0.909,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
alphabuilders_multifactor_revenue_quality_momentum_v1,AlphaBuilders multifactor revenue quality momentum,REVENUE_QUALITY_MOMENTUM,trend_following,ok,,,1.646,830,599.2915662650603,1176,780,"[{'date': '2026-06-09', 'strict_match_count': 839}, {'date': '2026-06-10', 'strict_match_count': 824}, {'date': '2026-06-11', 'strict_match_count': 795}, {'date': '2026-06-12', 'strict_match_count': 784}, {'date': '2026-06-15', 'strict_match_count': 780}]",True,0.19788953202529602,0.2642556380518255,1.485456474435245,0.824177910576841,-0.17059643640416977,1.2080123917989267,3.2375720041249516,1.1599183254522243,0.4523304585512984,564.0714285714286,1114.0,22706.0,0.014142190154595502,-0.007969110527842271
breakout_vol_expansion_seed_v1,Breakout volume expansion seed,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,,,0.716,830,224.96024096385543,738,243,"[{'date': '2026-06-09', 'strict_match_count': 328}, {'date': '2026-06-10', 'strict_match_count': 269}, {'date': '2026-06-11', 'strict_match_count': 236}, {'date': '2026-06-12', 'strict_match_count': 240}, {'date': '2026-06-15', 'strict_match_count': 243}]",True,0.2468867480313397,0.3188187067624956,1.610035607231358,1.0846340353954966,-0.19404142903444,1.1571273247150922,3.371723985240178,1.2722748255954484,0.43951819579702717,209.35714285714286,476.0,8369.0,0.017030912370967627,-0.013742307804195386
defensive_accumulation_seed_v1,Defensive accumulation seed,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,,,0.654,830,538.4831325301204,1050,512,"[{'date': '2026-06-09', 'strict_match_count': 662}, {'date': '2026-06-10', 'strict_match_count': 545}, {'date': '2026-06-11', 'strict_match_count': 479}, {'date': '2026-06-12', 'strict_match_count': 493}, {'date': '2026-06-15', 'strict_match_count': 512}]",True,0.1588245285155574,0.22305941946034735,1.4377540035336307,0.6335384367942105,-0.16529214052174102,1.0331179938620711,2.537267940483337,0.9608135019562455,0.44780722387747635,507.0952380952381,962.0,20239.0,0.012444105030325054,-0.008602150537634246
finlab_ai_skill_broker_accumulation_reclaim_v1,FinLab AI broker accumulation reclaim,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,,,1.432,830,222.21204819277108,470,215,"[{'date': '2026-06-09', 'strict_match_count': 280}, {'date': '2026-06-10', 'strict_match_count': 275}, {'date': '2026-06-11', 'strict_match_count': 244}, {'date': '2026-06-12', 'strict_match_count': 205}, {'date': '2026-06-15', 'strict_match_count': 215}]",True,0.15749120121132276,0.21916716009373274,1.3804780470659956,0.6272894478083941,-0.15667394174213534,0.9542813616422026,2.520071143927763,1.005152151906645,0.4467792370231395,209.95238095238096,455.0,8544.0,0.012810082686851649,-0.009350198412698463
stock_tech_s01_55d_trend_volume_breakout_v1,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS01Admission'],0.139,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
stock_tech_s02_52w_dual_momentum_v1,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS02Admission'],0.132,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
stock_tech_s04_ma_deduct_turn_breakout_v1,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS04Admission'],0.139,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
stock_tech_s06_nr7_inside_bar_breakout_v1,S6 NR7 inside bar breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS06Admission'],0.125,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
stock_tech_s11_gap_breakout_continuation_v1,S11 gap breakout continuation,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS11Admission'],0.153,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
