id,kind,algorithm,factor_ids,weights,combine,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
alpha_miner_deap_gp_0027,alpha_miner_confirm,deap_gp,"['tech_donchian_pos_20', 'l1_bbBandwidthPct']","[0.633177, 0.366823]",weighted_sum,ok,0.676,0.2686301184185189,0.354337922097386,1.91837700758734,1.2081353239646315,-0.2560706032906732,0.9089312327928398,2.3615654658389547,1.049006113569644,0.47680412371134023,10.0,10.0,409,,830,10.0,10,10
alpha_miner_optuna_tpe_0030,alpha_miner_confirm,optuna_tpe,"['l1_diTrend', 'l1_displacementPct', 'tech_limit_down_count_10']","[0.076224, 0.584639, 0.339136]",max,ok,0.091,0.19916545716124046,0.3676222907478721,3.7705284985997594,0.8306546678338298,-0.41802488006106453,0.6970229370663152,1.6745829620627504,0.4764326295742291,0.4175257731958763,10.0,10.0,410,,830,10.0,10,10
alpha_miner_pymoo_nsga3_novelty_0031,alpha_miner_confirm,pymoo_nsga3_novelty,"['tech_gap_up', 'l1_diTrend', 'l1_bosBullish']","[0.34063, 0.328365, 0.331005]",weighted_sum,ok,0.096,0.32601402839995397,0.4000210342866921,1.6564808850481132,1.558529631871905,-0.25718318855693956,1.2295452862581855,3.079463322767165,1.2675842242524173,0.4587628865979381,10.0,10.0,410,,830,10.0,10,10
alpha_miner_random_0001,alpha_miner_confirm,random,"['tech_sma_20_pos', 'tech_donchian_pos_20']","[0.362708, 0.637292]",weighted_sum,ok,0.101,0.35597413123531263,0.44211389903507436,1.9280455558648368,1.7560994690307101,-0.2535350070864635,1.1918410547631553,2.864666502345132,1.4039879362085759,0.4639175257731959,10.0,10.0,409,,830,10.0,10,10
